Location,Latitude,Longitude
"AIRDRIE, AB",51.28597,-114.01062
"CARGILL, HIGH RIVER",50.5729665,-113.86439059291908
EDMONTON TERMINAL,53.3069479,-113.58439316601246
"WINNIPEG, MB",49.8955367,-97.1384584
"STEINBACH, MB",49.530557,-96.69342
R2C 3B4,49.8957712,-97.063876125
"T0C 1N0, HOBBEMA, AB",52.8345485,-113.450681
"77022, HOUSTON, TX",29.82897111805274,-95.37839893935092
"14305, NIAGARA FALLS, NY",43.11412536711277,-79.03718365495833
"BRANFORD, ON",43.1394,-80.2636
"EDMONTON, AB",53.5462055,-113.491241
"ENFIELD, CT",41.9789387,-72.5755109
"L6W 1H9, BRAMPTON, ON",43.6824105,-79.7298073
"60101, ADDISON, IL",41.93301308114754,-88.00716143155738
"BAKERSFIELD, CA",35.3738712,-119.019463
"V3M 5V9, DELTA, BC",49.1646781,-122.9480904
"L2R 7K6, ST CATHARINES, ON",43.1552401,-79.1942975
"SAN DIEGO, CA",32.7174202,-117.162772
"CRANBROOK, BC",49.5107477,-115.7672772
"UNION, MO",38.4443875,-91.0082308
"HIDALGO, TX",26.3530256,-98.216445
"ARLINGTON, TX",32.7355816,-97.1071186
QUEBEC - H9,46.8137431,-71.2084061
"78540, EDINBURG, TX",26.2991722,-98.1774201
"REGINA, SK",50.4479733,-104.6158764
"RICHMOND, IN",39.8286897,-84.8898521
"27410, GREENSBORO, NC",36.11428000221787,-79.88054650052185
"TABER, AB",49.8895343,-112.0488074
"T0A 3J0, THORHILD, AB",54.154338,-113.12053463333332
"JBS, BROOKS",50.567699,-111.89534858416302
"93908, SALINAS, CA",36.6744117,-121.655037
"R0C 2R0, RIVERTON, MB",50.9997867,-97.0008494
"ACHESON, AB",53.5459141,-113.7715761
"FT MCMURRAY, AB",56.7291997,-111.3885221
"SASKATOON, SK",52.131802,-106.660767
6081 WALMART,51.19967355,-113.96198336982947
"INGLEWOOD, ON",43.7964281,-79.9334822
"CONCORD, ON",43.8003622,-79.4993876
"94607, OAKLAND, CA",37.802267640585775,-122.2783802464435
"T9H 1R8, FORT MCMURRAY, AB",56.7242433,-111.377296
PUROLATOR-AERO DRIVE,51.121201,-114.0349676
"85364, YUMA, AZ",32.70153466558966,-114.6349586092084
"ST-THOMAS, QC",46.0138485,-73.3508635
"93030, OXNARD, CA",34.20434697378641,-119.16385670291261
"RUTHVEN, ON",42.0520969,-82.6705741
"R2V 4J6, WINNIPEG, MB",49.9570973,-97.1456974
T4A 0V6,51.2027709,-113.9276938
"12085, GUILDERLAND CENTER, NY",42.7020217,-73.9662368
"GUELPH, ON",43.5460516,-80.2493276
#1553-LOBLAW,45.3577235,-75.6571052
"LA CRETE, AB",58.1909497,-116.395711
"T1H 0E4, LETHBRIDGE, AB",49.70083256666667,-112.82680693333333
"R3P 2M4, WINNIPEG, MB",49.82428277857143,-97.20174013571427
"R0M 2C0, VIRDEN, MB",49.8549144875,-100.932748275
"85365, YUMA, AZ",32.683989483999994,-114.5087700724
"STONY PLAIN, AB",53.5289862,-114.004873
"T8V 6X9, GRANDE PRAIRIE, AB",55.19154075,-118.79148125
"KIMBERLEY, BC",49.6850876,-115.9819477
"61070, ROCK CITY, IL",42.4132832,-89.4686451
"P7E 5S2, THUNDER BAY, ON",48.3823709,-89.3081082
"YORKTON, SK",51.212045,-102.461243
"YELLOWKNIFE, NT",62.4540807,-114.377385
"R3G 3P8, WINNIPEG, MB",49.89444295,-97.19171714297141
"78577, PHARR, TX",26.18124663135359,-98.18784309544199
"HAYWARD, CA",37.6688205,-122.080796
"CRESTON, BC",49.0971526,-116.5129759
"T7A 1R6, DRAYTON VALLEY, AB",53.2218165,-114.97633
"T3J 4X7, CALGARY, AB",51.13270284116679,-114.02461733410033
"R3H 1C9, WINNIPEG, MB",49.8999008,-97.20783645
CANADA POST,43.654820150000006,-79.32567380137988
"NORTH YORK, ON",43.7543311,-79.449109096412
"MISSISSAUGA, ON",43.5896231,-79.6443879
"R0G 1K0, MORRIS, MB",49.34927502222222,-97.38977514444444
"EXSHAW, AB",51.060621,-115.1594958
"T0J 0Y0, DRUMHELLER, AB",51.45587921818182,-112.70840672272728
WESTON BAKERIES,49.09824795,-122.4633727991834
"BRAMPTON, ON",43.685832,-79.7599366
"MILTON, ON",43.513671,-79.882817
"TERREBONNE, QC",45.7081005,-73.6515157
LAREDO TERMINAL,27.68071515,-99.4633160704418
"COLUMBIA CITY, IN",41.156928,-85.4884616
"V1R 4N7, TRAIL, BC",49.0945296,-117.7097659
"T5S 2H6, EDMONTON, AB",53.5462055,-113.491241
"R2K 4C1, WINNIPEG, MB",49.9281076,-97.0697015
"60440, BOLINGBROOK, IL",41.705178861512415,-88.07344596433408
"R2G 1P3, WINNIPEG, MB",49.9529838,-97.07575193333334
"46540, MIDDLEBURY, IN",41.6750714,-85.7060263
"LAC LA BICHE, AB",55.2467859,-111.8354916
OKLAHOMA,34.9550817,-97.2684063
"BONNYVILLE, AB",54.267925,-110.741515
"93901, SALINAS, CA",36.669309794444445,-121.64994359753086
"WEST ST PAUL, MB",49.997147,-97.077942
"V1C 6S3, CRANBROOK, BC",49.51621205,-115.7550036
"T9W 1L2, WAINWRIGHT, AB",52.8469154,-110.8395622
"UPPER MARLBORO, MD",38.8162451,-76.751708
"V1G 1Z6, DAWSON CREEK, BC",55.76265253333334,-120.24267706666667
"V1J 6E3, FORT ST JOHN, BC",56.2524039,-120.846943
"95361, OAKDALE, CA",37.77236417631579,-120.82895393157895
"90621, BUENA PARK, CA",33.870413,-117.9962165
"78040, LAREDO, TX",27.509185881481482,-99.50705447623457
"99301, PASCO, WA",46.23947169898649,-119.10261294222973
"14891, WATKINS GLEN, NY",42.3810555,-76.8705777
"T0G 1J0, JOUSSARD, AB",55.3978843,-115.9523374
"T0C 2P0, THORSBY, AB",53.2273921,-114.0506558
"R0A 0C0, BLUMENORT, MB",49.6041531,-96.6928187
"PHILA, PA",39.9261293,-75.2304318
"T9H 2J3, FORT MCMURRAY, AB",56.7179886,-111.3554096
"HEADINGLEY, MB",49.868087,-97.391052
"PHARR, TX",26.1947962,-98.1836216
"T0B 4K0, TWO HILLS, AB",53.714190375,-111.7443314
"TIMMINS, ON",48.477473,-81.330414
"44053, LORAIN, OH",41.42825239350181,-82.20759601913358
"RICHMOND, BC",49.163168,-123.137414
"MOOSE JAW, SK",50.401515,-105.542908
"BRANTFORD, ON",43.1408157,-80.2631733
"T7N 1A1, BARRHEAD, AB",54.119906916666665,-114.40325831666668
"HENDERSON, TX",32.182598,-95.7893178
"MARCHAND, MB",49.4445972,-96.3876504
"HIGH RIVER, AB",50.5801916,-113.8709332
"T2G 4A7, CALGARY, AB",51.13099658636703,-114.02416962020037
"93631, KINGSBURG, CA",36.51797958,-119.54674738666665
"PORTAGE LA PRAIRIE, MB",49.972422,-98.289185
"T2A 0V1, CALGARY, AB",51.0373767,-113.9630423
"BOLINGBROOK, IL",41.7003302,-88.0717708
"RICHMOND HILL, ON",43.8801166,-79.4392925
"NELSON, BC",49.494891,-117.290039
"V0B 1G0, CRESTON, BC",49.09575761,-116.5044435
"90058, LOS ANGELES, CA",34.00372964070797,-118.22915934867255
"EL PASO, TX",31.7601164,-106.4870404
"T0B 1W0, HAY LAKES, AB",53.1972284,-113.0552191
"54956, NEENAH, WI",44.183674209348,-88.48500838028279
"X1A 3G3, YELLOWKNIFE, NT",62.4458936,-114.4052753
"M1B 3C3, SCARBOROUGH, ON",43.797855475,-79.202135525
"93041, PORT HUENEME, CA",34.1477558,-119.1951559
"COQUITLAM, BC",49.2842958,-122.793281
"LANGLEY, BC",49.1039289,-122.657047
"MORENO VALLEY, CA",33.937517,-117.2305944
"T0B 2W0, MANNVILLE, AB",53.3369677,-111.1746836
"S0A 2V0, NORQUAY, SK",51.881486880000004,-102.08716572
"DARBYDALE, OH",39.8536731,-83.1829679
"KINGSVILLE, ON",42.0378963,-82.7396606
"COUTTS, AB",49.0017307,-111.9638892
PUROLATOR T3S 0B2,50.9681374,-114.0735775
"48207, DETROIT, MI",42.3315509,-83.0466403
"93725, FRESNO, CA",36.70561112857143,-119.74776253809523
"CALEDON, ON",43.832069849999996,-79.90668711186211
"56065, MAPLETON, MN",43.92903641075269,-93.9546824623656
"10474, BRONX, NY",40.81397665997181,-73.88724839802677
"R3K 2G6, WINNIPEG, MB",49.8846926,-97.31187846666666
"CASTLEGAR, BC",49.316171,-117.663574
"T4P 3R2, RED DEER, AB",52.31529596666667,-113.8405813
"60007, ELK GROVE VILLAGE, IL",42.0087978,-87.9414608
"H4T 1E3, SAINT-LAURENT, QC",45.4842829,-73.69181193333334
"J7V 5V5, VAUDREUIL-DORION, QC",45.4086701,-74.04976983333334
"T0G 1L0, LEGAL, AB",53.9487406,-113.5954265
"77389, SPRING, TX",30.0795707,-95.4187924
"BRANDON, MB",49.8511143,-99.9608924
"93060, SANTA PAULA, CA",34.3541659,-119.0592705
"61109, ROCKFORD, IL",42.214887329845816,-89.04487061552864
"ESTEVAN, SK",49.1428076,-102.991075
"T9V 0A6, LLOYDMINSTER, AB",53.276856555172415,-110.00926083793104
"R5G 0Y1 Steinbach, MB",49.5485915,-96.6922574
"T2A 7X1, CALGARY, AB",51.0612783,-113.9940622
"S4X 4P7, REGINA, SK",50.4957226,-104.6356344
"FERNIE, BC",49.5041747,-115.062867
"STE-JULIE, QC",45.5930624,-73.3395943
"DAYSLAND, AB",52.8680426,-112.2656813
"48442, HOLLY, MI",42.7919727,-83.6277255
"19806, WILMINGTON, DE",39.75809133382353,-75.56607203676471
"L5V 2N6, MISSISSAUGA, ON",43.60679785,-79.6904839
MEXICO,19.4326296,-99.1331785
"LAREDO, TX",27.5075005,-99.5069922
"KELOWNA, BC",49.8879177,-119.495902
"93625, FOWLER, CA",36.63025445,-119.6732956
"R6W 4A9, WINKLER, MB",49.18578376666667,-97.9308262
"BAIE-STE-CATHERINE, QC",48.1036148,-69.724613
"92251, IMPERIAL, CA",32.80521323333333,-115.7222389851852
3179 2150 PRINCE OF WALES,72.6000,-98.5333
"DETROIT, MI",42.3315509,-83.0466403
"20794, JESSUP, MD",39.1492746,-76.7752493
"93654, REEDLEY, CA",36.602705314285714,-119.44816685714285
"77343, HUNTSVILLE, TX",30.7235263,-95.5507771
"S9A 3G8, NORTH BATTLEFORD, SK",52.7610866,-108.2739558
"54130, KAUKAUNA, WI",44.280912030434784,-88.25612667080746
"PICKERING, ON",43.835765,-79.090576
"N8H 3V8, LEAMINGTON, ON",42.1350225,-82.6156579
"SOUTH SIOUX CITY, NE",42.4742963,-96.4135909
"T2C 0A9, CALGARY, AB",51.13099658636703,-114.02416962020037
"78220, SAN ANTONIO, TX",29.41292596356877,-98.4152242126394
"T0H 3N0, VALLEYVIEW, AB",55.06298458,-117.28001858190477
"CHAMBLY, QC",45.4483467,-73.2936944
"97220, PORTLAND, OR",45.54218633318853,-122.55909200661381
"GREEN BAY, WI",44.5126379,-88.0125794
"33605, TAMPA, FL",27.961257340345824,-82.43560212896254
"R3T 4S5, WINNIPEG, MB",49.82278766666667,-97.14965213333333
"R2C 4J2, WINNIPEG, MB",49.8994703,-97.0595768
"R2V 3C4, WINNIPEG, MB",49.94115836666667,-97.1562311
"J7V 8P2, VAUDREUIL-DORION, QC",45.38592720869565,-74.06820586086957
"R2V 1Y9, WINNIPEG, MB",49.933825725,-97.12128405
"55027, GOODHUE, MN",44.40039811261261,-92.64293415315316
"MIAMI, FL",25.7741728,-80.19362
"N0J 1P0, NORWICH, ON",42.9835285,-80.59615590833334
"53114, DARIEN, WI",42.595302075,-88.72313765476191
"T0B 2G0, INNISFREE, AB",53.3708691,-111.5285424
"92233, CALIPATRIA, CA",33.1255773,-115.5140272
"LETHBRIDGE, AB",49.6945782,-112.8331033
"SWIFT CURRENT, SK",50.2849138,-107.7984496
VERSA COLD,50.679286,-120.350904
"WATKINS GLEN, NY",42.3810555,-76.8705777
"FT MACLEOD, AB",49.7267379,-113.4076000973896
"90501, TORRANCE, CA",33.81808392078652,-118.31712971388443
"LONDON, ON",42.9832406,-81.243372
"93307, BAKERSFIELD, CA",35.32604054363637,-118.97014387818182
"46725, COLUMBIA CITY, IN",41.156928,-85.4884616
"01085, WESTFIELD, MA",42.12033593243243,-72.73304191013514
"T2C 3W5, CALGARY, AB",51.13099658636703,-114.02416962020037
"R2J 2M8, WINNIPEG, MB",49.85505365,-97.07728565
"N4G 4G8, TILLSONBURG, ON",42.8717252,-80.75024
ICE RIVER,49.48687992081765,-126.18927073430592
"K2J 1A1, NEPEAN, ON",45.28711086923077,-75.75771998461539
"K9J 7B1, PETERBOROUGH, ON",44.2567978,-78.3883384
"92376, RIALTO, CA",34.106454700709214,-117.38152816099291
"S7H 0T8, SASKATOON, SK",52.1152777,-106.6270481
"S7N 4M8, SASKATOON, SK",52.1450181,-106.5763518
"S7H 0V4, SASKATOON, SK",52.1155829,-106.617598625
"91746, LA PUENTE, CA",34.0280619,-117.953097
"92249, HEBER, CA",32.7316732,-115.530728
"T0H 1Z0, HIGH LEVEL, AB",58.516667,-117.133333
"T3S 0B8 Calgary, AB",51.13270284116679,-114.02461733410033
"T0A 2W0, REDWATER, AB",53.94930492307693,-113.12276779230768
"M9W 1L2, ETOBICOKE, ON",43.7051057,-79.5867753
"L4W 1G5, MISSISSAUGA, ON",43.6332326,-79.6323438
"R7A 1A7, BRANDON, MB",49.84174905,-99.94993645
"T0C 2L1, STETTLER, AB",52.32010976666667,-112.71267678888888
"T4S 2J3, SYLVAN LAKE, AB",52.3102136,-114.0974155
T9K 1S6,56.7596447,-111.437972175
3434 NO FRILLS,53.6297196,-113.42982138154994
"NORTH BAY, ON",46.3092115,-79.4607617
"T2C 1N6, CALGARY, AB",51.13099658636703,-114.02416962020037
"R3M 2X7, WINNIPEG, MB",49.89444295,-97.19171714297141
#9002 EXTRA FOOD,47.8548245,17.7699268
"R3N 2A1, WINNIPEG, MB",49.8564563,-97.203791
"T4N 4H5, RED DEER, AB",52.26905835,-113.81851855
"60563, NAPERVILLE, IL",41.79110870565249,-88.1701761404522
"93434, GUADALUPE, CA",34.96758012,-120.57245635999999
"93215, DELANO, CA",35.764994789999996,-119.24277038666665
"80631, GREELEY, CO",40.410744332686086,-104.6956580579288
"T0B 1A0, DAYSLAND, AB",52.865998,-112.260716175
"T0B 4J0, TOFIELD, AB",53.37427567631579,-112.67511807105262
"T0B 2C0, HOLDEN, AB",53.2286513,-112.237569
"T0E 0Y0, GRANDE CACHE, AB",53.8888135,-119.1185658
"T0C 1H0, FALUN, AB",52.9596558,-113.8370249
"S9H 3X6, SWIFT CURRENT, SK",50.29671246666667,-107.8017428
"S3N 3K4, YORKTON, SK",51.2086814,-102.4516089
"02149, EVERETT, MA",42.409347208948546,-71.04180662270694
"T0L 1R0, NANTON, AB",50.34870655,-113.77822745
DC 1904,38.9158704,-77.041858
"12072, FULTONVILLE, NY",42.9478357,-74.3699085
"R3K 0W4, WINNIPEG, MB",49.8999008,-97.20783645
6063 WALMART,20.99712695,-89.67387389523144
"V0C 2W0, TUMBLER RIDGE, BC",55.1262007,-120.998067
"V0C 1J0, CHETWYND, BC",55.695853916666664,-121.62535056666667
1542 RCSS,50.9360,-113.8998
T3M 2N9,50.87528535,-113.9607378
"T2Z 4E7, CALGARY, AB",50.9342991,-113.9671668
"T1M 1N3, COALDALE, AB",49.7270091,-112.6265371
"R6W 1A1, WINKLER, MB",49.183459,-97.9380479
"L4N 9H5, BARRIE, ON",44.334172339999995,-79.68594246
"93615, CUTLER, CA",36.5232834,-119.2867823
"95077, WATSONVILLE, CA",36.9092773,-121.7529071
"68801, GRAND ISLAND, NE",40.924271,-98.338685
"FORT MCMURRAY, AB",56.7291997,-111.3885221
"T9N 2P1, BONNYVILLE, AB",54.2692983,-110.7298268
"T0A 3C0, SMOKY LAKE, AB",54.11407416666666,-112.47698203333333
"T2H 0N8, CALGARY, AB",51.13099658636703,-114.02416962020037
"V0B 1G6, CRESTON, BC",49.1124321,-116.5240605
"T0K 0E0, BLAIRMORE, AB",49.6071847,-114.4381219
"14092, LEWISTON, NY",43.17356816252845,-79.02393230132422
"14411, ALBION, NY",43.24482163280104,-78.20111579224377
MATRIX DISTRIBUTION,53.684923049999995,-2.674195114334247
"48130, DEXTER, MI",42.3372998,-83.8842
"92371, PHELAN, CA",34.39106384642857,-117.5281225
"V0H 1H0, GRAND FORKS, BC",49.0312269,-118.4392039
"T1B 1E2, MEDICINE HAT, AB",50.0083754,-110.6614255
"T5S 2T6, EDMONTON, AB",53.5462055,-113.491241
CN TRANSPORT,22.2825367,114.12357040782916
"93706, FRESNO, CA",36.75079334885496,-119.94469382213741
"03053, LONDONDERRY, NH",42.86782521344917,-71.38020923316459
"T0A 1N0, GIBBONS, AB",53.82601265,-113.32760575
"T2H 1Z9, CALGARY, AB",51.13099658636703,-114.02416962020037
"T0L 0Z0, FORT MACLEOD, AB",49.7257719,-113.405385
"T1V 2A9 High River, AB",50.5730043,-113.840841175
"T3B 2J8, CALGARY, AB",51.13270284116679,-114.02461733410033
"T1K 2R5, LETHBRIDGE, AB",49.67442255,-112.80248931666668
"R0A 0X0, LANDMARK, MB",49.6694135,-96.8209257
"R0G 0B0, ALTONA, MB",49.0957797,-97.5501749
"T0E 0T0, EVANSBURG, AB",53.6021742,-115.0139347
"T0C 2T0, WARBURG, AB",53.18522594444444,-114.31892665555556
"53089, SUSSEX, WI",43.1339001,-88.2220372
"48444, IMLAY CITY, MI",43.0247496,-83.0777153
"53151, NEW BERLIN, WI",42.976453,-88.1090391
"51351, MILFORD, IA",43.32396,-95.1508003
"R3T 4Z7, WINNIPEG, MB",49.800288560000006,-97.16191406
"T1B 4C6, MEDICINE HAT, AB",50.04303,-110.679016
"76137, FORT WORTH, TX",32.864111732478634,-97.28978920373932
"V2T 1A1, ABBOTSFORD, BC",49.0377248,-122.3355508
T4S 0B6,52.30560794166667,-114.07277121666668
"R0H 0H0, ELIE, MB",49.9011596,-97.7578806
"MCALLEN, TX",26.204114,-98.2300605
"07072, CARLSTADT, NJ",40.83704867932961,-74.0791514273743
"91950, NATIONAL CITY, CA",32.6781085,-117.0991967
"13208, SYRACUSE, NY",43.07385607315262,-76.14766486469063
"01101, SPRINGFIELD, MA",42.1095385,-72.5842553
"72401, JONESBORO, AR",35.84000817027198,-90.69030889139785
"95961, OLIVEHURST, CA",39.0953715,-121.5517753
3995 NO FRILLS,53.6297196,-113.42982138154994
"60431, JOLIET, IL",41.54673874187243,-88.27492070751029
"T2C 4X5, CALGARY, AB",51.13099658636703,-114.02416962020037
"68512, LINCOLN, NE",40.73887315719558,-96.69299621254612
T7X 5A6,53.532912525,-113.779346075
"T0C 1Z0, MILLET, AB",53.0941031,-113.4719296
"T2C 4P6, CALGARY, AB",51.13099658636703,-114.02416962020037
"T0G 1E0, HIGH PRAIRIE, AB",55.4325044,-116.4836198
"47374, RICHMOND, IN",39.82977505531274,-84.89016364325546
"95045, SAN JUAN BAUTISTA, CA",36.8455173,-121.537989
"44663, NEW PHILADELPHIA, OH",40.4897871,-81.4456706
"49637, GRAWN, MI",44.6605785,-85.6928713
"60638, CHICAGO, IL",41.8755616,-87.6244212
"93033, OXNARD, CA",34.17091704736842,-119.16743587894737
"95301, ATWATER, CA",37.34742355444386,-120.60015891973981
"95023, HOLLISTER, CA",36.84429556117825,-121.39359046102719
"T2E 7Y2, CALGARY, AB",51.13099658636703,-114.02416962020037
"95240, LODI, CA",38.12010864761905,-121.26729789365079
"57064, TEA, SD",43.44535051084337,-96.8090876939759
"95334, LIVINGSTON, CA",37.380524753173454,-120.72255005129213
"90670, SANTA FE SPRINGS, CA",33.9480787,-118.0691499
"58042, HARWOOD, ND",46.979412,-96.880638
"LEDUC, AB",53.2607825,-113.5511681
"03874, SEABROOK, NH",42.88535637633929,-70.86478765982143
"S4R 7M2, REGINA, SK",50.4833738,-104.6669234
"S3N 3G7, YORKTON, SK",51.2121588,-102.4435673
"SCARBOROUGH, ON",43.7729744,-79.2576479
"R0C 2B0, MATLOCK, MB",50.4330195,-96.9531267
"OAK BLUFF, MB",49.7746775,-97.3236628
"61103, ROCKFORD, IL",42.300062404189944,-89.08089394092178
"WHITBY, ON",43.87982,-78.9421751
"T7S 1P8, WHITECOURT, AB",54.143582,-115.6712427
"54112, COLEMAN, WI",45.0649843,-88.0342701
"J0E 1E0, ANGE-GARDIEN, QC",45.360835984615385,-72.93503308461538
"CAMBRIDGE, ON",43.3600536,-80.3123023
"63825, BLOOMFIELD, MO",36.8858853,-89.9292572
"11206, BROOKLYN, NY",40.70159676022648,-73.94304709494773
"53946, MARKESAN, WI",43.7073195,-88.9900685
"78503, MCALLEN, TX",26.180339646153847,-98.2403656474359
"44305, AKRON, OH",41.07628335,-81.51963553960036
"93933, MARINA, CA",36.6844029,-121.802173
"V1S 1J7, KAMLOOPS, BC",50.6758269,-120.339415
"ANJOU, QC",45.6048982,-73.5466723
"T2W 3N2, CALGARY, AB",51.13099658636703,-114.02416962020037
"T0H 0W0, CLAIRMONT, AB",55.2452026,-118.79343666666668
"S4P 1E5, REGINA, SK",50.4368804,-104.599805
"V0J 2N0, SMITHERS, BC",54.79008187272728,-127.17400001818183
"60628, CHICAGO, IL",41.690920670423544,-87.62236026396268
"61341, MARSEILLES, IL",41.332148784126986,-88.69994176931216
"T3H 3P8, CALGARY, AB",51.01949273636364,-114.17007074545455
"T0B 4N0, VIKING, AB",53.09616895,-111.785215975
"T0B 1V0, HARDISTY, AB",52.671984,-111.310558
"97351, INDEPENDENCE, OR",44.85067822,-123.19674312000001
"L7P 1A1, BURLINGTON, ON",43.3480488,-79.8138227
"T2A 6J4, CALGARY, AB",51.065627,-113.988996
"T0B 3H0, MUNDARE, AB",53.59231118,-112.3403022
"77550, GALVESTON, TX",29.302648900460827,-94.78931168940092
"V3S 9V5, SURREY, BC",49.0552452,-122.6998986
"T0E 1N0, MAYERTHORPE, AB",53.949453479999995,-115.13931568
"T0C 0P0, BRETON, AB",53.1107791,-114.4714876
"95012, CASTROVILLE, CA",36.7657904,-121.758005
SELKIRK,50.146986,-96.880188
"T4B 2B6, AIRDRIE, AB",51.2910849,-114.01402755
"93662, SELMA, CA",36.56802517692308,-119.60813414615386
"55044, LAKEVILLE, MN",44.68029335819164,-93.25086560784482
"M8Z 5K7, ETOBICOKE, ON",43.6238443,-79.5409003
"90023, LOS ANGELES, CA",34.02419347493976,-118.20132325349398
"R6W 4A8, WINKLER, MB",49.1814624,-97.9251674
"02118, BOSTON, MA",42.33973334915254,-71.06929333898304
"01810, ANDOVER, MA",42.65035823604651,-71.14599429147286
"54115, DE PERE, WI",44.4493584,-88.0599986
"92345, HESPERIA, CA",34.426517103125,-117.32819367109374
"93622, FIREBAUGH, CA",36.8588376,-120.456007
"Y1A 1C8, WHITEHORSE, YT",60.7281672,-135.0626042
"78130, NEW BRAUNFELS, TX",29.7028266,-98.1257348
"85390, WICKENBURG, AZ",33.971609801999996,-112.76504538800002
"75050, GRAND PRAIRIE, TX",32.7459645,-96.9977846
"11220, BROOKLYN, NY",40.6411290701333,-74.01311563586039
"90065, LOS ANGELES, CA",34.10362406114285,-118.21594700285713
"49001, KALAMAZOO, MI",42.291707,-85.5872286
"92154, SAN DIEGO, CA",32.575774791460134,-117.05234462613652
"RED DEER COUNTY, AB",52.1040224,-113.767473
"78501, MCALLEN, TX",26.21872208945783,-98.24140631126507
"77701, BEAUMONT, TX",30.07463891775148,-94.10507340867849
"S4X 4N9, REGINA, SK",50.49832635,-104.64335995
"T9E 2X3, NISKU, AB",53.333333,-113.533333
"BRADFORD, ON",44.1171265,-79.5560133
"76504, TEMPLE, TX",31.099324453483604,-97.36702005430328
"K7K 7E6, KINGSTON, ON",44.27114705,-76.4451613
"93220, EDISON, CA",35.3474591,-118.8717638
"95337, MANTECA, CA",37.7986184,-121.2117148
"61356, PRINCETON, IL",41.37673313090025,-89.4437095863747
"44646, MASSILLON, OH",40.7965119,-81.5231597
"17365, WELLSVILLE, PA",40.0506048,-76.9383153
"01469, TOWNSEND, MA",42.6585361125,-71.68621140416666
"97015, CLACKAMAS, OR",45.41861583951019,-122.53019909520467
"02072, STOUGHTON, MA",42.116241699456516,-71.0950726201087
"07424, LITTLE FALLS, NJ",40.882841,-74.2351938074435
"46975, ROCHESTER, IN",41.0648846,-86.2159959
"76106, FORT WORTH, TX",32.753177,-97.3327459
"75236, DALLAS, TX",32.68510844349776,-96.91772560044843
"53586, SHULLSBURG, WI",42.56866436666667,-90.24477893886011
"55336, GLENCOE, MN",44.78220288913433,-94.16804845462687
"92509, RIVERSIDE, CA",33.99196430253165,-117.45414390316455
"84631, FILLMORE, UT",38.964980068181816,-112.33420585227273
"S7L 5C3, SASKATOON, SK",52.13248003333333,-106.72667786666666
"S7K 8E6, SASKATOON, SK",52.1737354,-106.6420537
"94103, SAN FRANCISCO, CA",37.7792588,-122.4193286
"83425, HAMER, ID",43.9262786,-112.2067506
30408 CANADIAN TIRE,43.46621465,-80.4598598620681
"T0C 0A0, ALDER FLATS, AB",52.9317561,-114.9590715
"T0B 2L0, KILLAM, AB",52.79101424285714,-111.85755754285715
"T0B 0H0, BASHAW, AB",52.580383,-112.9785409
"45872, NORTH BALTIMORE, OH",41.1828302,-83.6782668
"77038, HOUSTON, TX",29.7589382,-95.3676974
"T2Y 3R9, CALGARY, AB",50.9100192,-114.0676299
"L4M 5A2, BARRIE, ON",44.41219276,-79.7109114
"75237, DALLAS, TX",32.662979221505374,-96.87165016532258
"R2G 4H2, WINNIPEG, MB",49.931754,-97.059108
"T0M 2A0, THREE HILLS, AB",51.70698527142857,-113.25188251428571
